DD/MM/YYYY,latest,open,max,min,volume,% change,,,,,,,,,,,,,
10/06/2022,4.66,4.7,4.78,4.66,16.22M,-0.85%,,,,,,,,,,,,,
9/06/2022,4.7,4.82,4.84,4.7,27.82M,-2.08%,,,,,,,,,,,,,
8/06/2022,4.8,4.84,4.86,4.8,13.41M,-0.41%,,,,,,,,,,,,,
7/06/2022,4.82,4.88,4.88,4.8,14.49M,-1.63%,,,,,,,,,,,,,
6/06/2022,4.9,4.86,4.92,4.82,25.01M,1.66%,,,,,,,,,,,,,
2/06/2022,4.82,4.9,4.92,4.8,23.87M,-1.63%,,,,,,,,,,,,,
1/06/2022,4.9,4.94,4.96,4.9,35.84M,-1.21%,,,,,,,,,,,,,
31/05/2022,4.96,4.92,5.05,4.92,103.03M,1.22%,,,,,,,,,,,,,
30/05/2022,4.9,4.9,4.98,4.9,30.34M,0.00%,,,,,,,,,,,,,
27/05/2022,4.9,5.05,5.1,4.88,61.80M,-2.97%,,,,,,,,,,,,,
26/05/2022,5.05,4.88,5.05,4.84,136.83M,4.34%,,,,,,,,,,,,,
25/05/2022,4.84,4.96,5.1,4.82,95.68M,-0.41%,,,,,,,,,,,,,
24/05/2022,4.86,4.88,4.92,4.8,48.55M,0.83%,,,,,,,,,,,,,
23/05/2022,4.82,4.76,4.98,4.72,108.93M,2.55%,,,,,,,,,,,,,
20/05/2022,4.7,4.42,4.76,4.4,122.67M,8.80%,,,,,,,,,,,,,
19/05/2022,4.32,4.2,4.36,4.2,25.76M,0.00%,,,,,,,,,,,,,
18/05/2022,4.32,4.22,4.34,4.2,30.39M,3.35%,,,,,,,,,,,,,
17/05/2022,4.18,4.1,4.22,4.08,38.92M,2.45%,,,,,,,,,,,,,
13/05/2022,4.08,4.58,4.6,4.04,168.85M,-10.53%,,,,,,,,,,,,,
12/05/2022,4.56,4.56,4.62,4.5,30.23M,-0.44%,,,,,,,,,,,,,
11/05/2022,4.58,4.62,4.64,4.56,5.18M,-0.87%,,,,,,,,,,,,,
10/05/2022,4.62,4.6,4.66,4.54,22.73M,0.00%,,,,,,,,,,,,,
9/05/2022,4.62,4.68,4.74,4.6,17.30M,-1.70%,,,,,,,,,,,,,
6/05/2022,4.7,4.62,4.7,4.56,34.32M,0.00%,,,,,,,,,,,,,
5/05/2022,4.7,4.68,4.74,4.62,24.61M,1.29%,,,,,,,,,,,,,
3/05/2022,4.64,4.68,4.68,4.62,16.15M,-1.28%,,,,,,,,,,,,,
29/04/2022,4.7,4.68,4.76,4.64,46.11M,0.43%,,,,,,,,,,,,,
28/04/2022,4.68,4.56,4.7,4.54,27.81M,2.18%,,,,,,,,,,,,,
27/04/2022,4.58,4.56,4.58,4.5,17.47M,0.88%,,,,,,,,,,,,,
26/04/2022,4.54,4.6,4.64,4.54,10.88M,-1.30%,,,,,,,,,,,,,
25/04/2022,4.6,4.54,4.62,4.52,8.85M,0.00%,,,,,,,,,,,,,
22/04/2022,4.6,4.56,4.66,4.56,8.28M,0.88%,,,,,,,,,,,,,
21/04/2022,4.56,4.6,4.64,4.54,6.22M,-0.44%,,,,,,,,,,,,,
20/04/2022,4.58,4.66,4.7,4.56,22.05M,-0.87%,,,,,,,,,,,,,
19/04/2022,4.62,4.54,4.66,4.52,18.75M,2.21%,,,,,,,,,,,,,
18/04/2022,4.52,4.42,4.54,4.42,22.79M,1.80%,,,,,,,,,,,,,
12/04/2022,4.44,4.4,4.5,4.4,20.96M,0.91%,,,,,,,,,,,,,
11/04/2022,4.4,4.5,4.5,4.38,12.72M,-2.22%,,,,,,,,,,,,,
8/04/2022,4.5,4.48,4.52,4.46,8.83M,0.90%,,,,,,,,,,,,,
7/04/2022,4.46,4.58,4.62,4.44,22.89M,-2.62%,,,,,,,,,,,,,
5/04/2022,4.58,4.6,4.7,4.58,21.09M,-0.43%,,,,,,,,,,,,,
4/04/2022,4.6,4.7,4.72,4.58,12.10M,-1.29%,,,,,,,,,,,,,
